Read ID,Poly(A) end,Adapter end,Leader end,Start end
b22e0700-ddab-47c0-8bec-443c6804fe14,11075,5268,434,195
b5cd3e02-b886-4133-81ca-4ac451ed99d9,7756,5039,650,473
b82ea203-44b8-4083-aa0c-3021f33aeff6,5645,5644,548,280
b4bb7779-d813-417b-9c6f-d4290937130c,8368,5523,232,128
b49609c1-e648-470f-87a6-d770a5746f92,10664,5126,1137,965
b1ec4868-51ed-4137-99a7-6e0869a7dca1,5692,4737,670,407
b85c5a98-55dd-42bb-b9a6-4ae863870239,8266,6295,712,537
b8865673-d0af-46bc-a889-589b36f6f174,11374,7805,2,1
b98f34f4-a770-4948-96ec-14016f18be82,9948,6145,844,439
ba5b7a47-db42-40a6-956a-1cd445b8a350,7815,5975,2,1
b4db05ce-936a-4b5e-bc50-938449855465,13440,12648,2,1
b35cb255-d891-42e6-930a-2c7a7c031f92,11278,9339,547,387
ba6df8e8-9d59-4225-840d-9b5559bab714,7464,4879,291,290
b9e0d6a1-0ca5-456a-a2c2-6bfd1d968592,8407,6883,3,2
b95f582c-75b0-4dbe-ba25-34bec6ce9c0a,9508,7670,356,247
ba0afe5a-ce06-49d4-b45b-72ab5b45908c,7413,4724,507,321
bb7150dd-cdd6-48eb-8f92-749783d5b27a,5800,5781,2,1
bab2c0a5-ca77-4ced-a6a4-008ef706fc5d,7311,5285,311,212
bd2ede6d-10d6-48c6-9ccd-9a2f62232ed9,8191,5265,3,2
bcbba266-ba71-4d6f-8122-5dc3af269e63,8854,5451,451,405
bb2d1093-d241-44c1-b7b4-9a24632907de,8404,6880,973,446
be170de2-ca07-4420-90df-5938b16a4591,3899,33,30,1
b99fc0cc-4829-4c31-8a15-afc8f1eb8da5,13255,13230,843,457
bcc7069d-8aa2-4058-b471-bed3c0193cf5,7595,5694,535,404
bb31b288-443d-4a5a-86d0-2f1b69ca3e74,8424,7118,389,214
c026c8ec-e92e-4aa5-9419-15c1693040a1,9283,5909,735,253
bae32dbe-cc87-4c0e-9784-4f5ef9fabd9d,21504,12515,309,308
baac1305-0cd4-4d5c-8e04-a0a1e46640ea,5733,3527,484,262
c0964638-4c96-40ef-80eb-56d38e8b3e83,8869,6315,825,505
c02f3477-5393-43d7-8995-98315a84ba7b,6510,4679,429,252
c13dbf1c-b97b-4111-9a1d-daf229ba6fac,8548,4533,2,1
